306,31,,,Manchester City,Brighton and Hove Albion,Pep Guardiola,Chris Hughton
307,31,,,Stoke City,Everton,Mark Hughes,Ronald Koeman
308,31,,,Swansea City,Southampton,Paul Clement,Mauricio Pellegrino
309,31,,,Tottenham Hotspur,New Castle United,Mauricio Pochettino,Rafael Benitez
310,31,,,West Ham United,Manchester United,Slaven Bilic,Jose Mourinho
311,32,,,Arsenal,Stoke City,Arsene Wenger,Mark Hughes
312,32,,,Brighton and Hove Albion,Leicester City,Chris Hughton,Craig Shakespeare
313,32,,,Chelsea,Tottenham Hotspur,Antonio Conte,Mauricio Pochettino
314,32,,,Crystal Palace,Liverpool,Roy Hodgson,Jurgen Klopp
315,32,,,Everton,Manchester City,Ronald Koeman,Pep Guardiola
316,32,,,Manchester United,Swansea City,Jose Mourinho,Paul Clement
317,32,,,New Castle United,Huddersfield Town,Rafael Benitez,David Wagner
318,32,,,Watford,Bournemouth,Marco Silva,Eddie Howe
319,32,,,West Bromwich Albion,Burnley,Tony Pulis,Sean Dyche
320,32,,,West Ham United,Southampton,Slaven Bilic,Mauricio Pellegrino
321,33,,,Arsenal,Southampton,Arsene Wenger,Mauricio Pellegrino
322,33,,,Bournemouth,Crystal Palace,Eddie Howe,Roy Hodgson
323,33,,,Brighton and Hove Albion,Huddersfield Town,Chris Hughton,David Wagner
324,33,,,Chelsea,West Ham United,Antonio Conte,Slaven Bilic
325,33,,,Everton,Liverpool,Ronald Koeman,Jurgen Klopp
326,33,,,Leicester City,New Castle United,Craig Shakespeare,Rafael Benitez
327,33,,,Manchester City,Manchester United,Pep Guardiola,Jose Mourinho
328,33,,,Stoke City,Tottenham Hotspur,Mark Hughes,Mauricio Pochettino
329,33,,,Watford,Burnley,Marco Silva,Sean Dyche
330,33,,,West Bromwich Albion,Swansea City,Tony Pulis,Paul Clement
331,34,,,Burnley,Leicester City,Sean Dyche,Craig Shakespeare
332,34,,,Crystal Palace,Brighton and Hove Albion,Roy Hodgson,Chris Hughton
333,34,,,Huddersfield Town,Watford,David Wagner,Marco Silva
334,34,,,Liverpool,Bournemouth,Jurgen Klopp,Eddie Howe
335,34,,,Manchester United,West Bromwich Albion,Jose Mourinho,Tony Pulis
336,34,,,New Castle United,Arsenal,Rafael Benitez,Arsene Wenger
337,34,,,Southampton,Chelsea,Mauricio Pellegrino,Antonio Conte
338,34,,,Swansea City,Everton,Paul Clement,Ronald Koeman
339,34,,,Tottenham Hotspur,Manchester City,Mauricio Pochettino,Pep Guardiola
340,34,,,West Ham United,Stoke City,Slaven Bilic,Mark Hughes
341,35,,,Arsenal,West Ham United,Arsene Wenger,Slaven Bilic
342,35,,,Bournemouth,Manchester United,Eddie Howe,Jose Mourinho
343,35,,,Brighton and Hove Albion,Tottenham Hotspur,Chris Hughton,Mauricio Pochettino
344,35,,,Chelsea,Huddersfield Town,Antonio Conte,David Wagner
345,35,,,Everton,New Castle United,Ronald Koeman,Rafael Benitez
346,35,,,Leicester City,Southampton,Craig Shakespeare,Mauricio Pellegrino
347,35,,,Manchester City,Swansea City,Pep Guardiola,Paul Clement
348,35,,,Stoke City,Burnley,Mark Hughes,Sean Dyche
349,35,,,Watford,Crystal Palace,Marco Silva,Roy Hodgson
350,35,,,West Bromwich Albion,Liverpool,Tony Pulis,Jurgen Klopp
351,36,,,Burnley,Brighton and Hove Albion,Sean Dyche,Chris Hughton
352,36,,,Crystal Palace,Leicester City,Roy Hodgson,Craig Shakespeare
353,36,,,Huddersfield Town,Everton,David Wagner,Ronald Koeman
354,36,,,Liverpool,Stoke City,Jurgen Klopp,Mark Hughes
355,36,,,Manchester United,Arsenal,Jose Mourinho,Arsene Wenger
356,36,,,New Castle United,West Bromwich Albion,Rafael Benitez,Tony Pulis
357,36,,,Southampton,Bournemouth,Mauricio Pellegrino,Eddie Howe
358,36,,,Swansea City,Chelsea,Paul Clement,Antonio Conte
359,36,,,Tottenham Hotspur,Watford,Mauricio Pochettino,Marco Silva
360,36,,,West Ham United,Manchester City,Slaven Bilic,Pep Guardiola
361,37,,,Arsenal,Burnley,Arsene Wenger,Sean Dyche
362,37,,,Bournemouth,Swansea City,Eddie Howe,Paul Clement
363,37,,,Brighton and Hove Albion,Manchester United,Chris Hughton,Jose Mourinho
364,37,,,Chelsea,Liverpool,Antonio Conte,Jurgen Klopp
365,37,,,Everton,Southampton,Ronald Koeman,Mauricio Pellegrino
366,37,,,Leicester City,West Ham United,Craig Shakespeare,Slaven Bilic
367,37,,,Manchester City,Huddersfield Town,Pep Guardiola,David Wagner
368,37,,,Stoke City,Crystal Palace,Mark Hughes,Roy Hodgson
369,37,,,Watford,New Castle United,Marco Silva,Rafael Benitez
370,37,,,West Bromwich Albion,Tottenham Hotspur,Tony Pulis,Mauricio Pochettino
371,38,,,Burnley,Bournemouth,Sean Dyche,Eddie Howe
372,38,,,Crystal Palace,West Bromwich Albion,Roy Hodgson,Tony Pulis
373,38,,,Huddersfield Town,Arsenal,David Wagner,Arsene Wenger
374,38,,,Liverpool,Brighton and Hove Albion,Jurgen Klopp,Chris Hughton
375,38,,,Manchester United,Watford,Jose Mourinho,Marco Silva
