492,Phil Foden,,MID
493,Brahim Diaz,,MID
494,Chancel Mbemba,,DEF
495,Mikel Merino,,MID
496,Isaac Hayden,,MID
497,Eric Maxim Choupo-Moting,,MID
498,Kyle Walker-Peters,,DEF
499,Jerome Sinclair,,FWD
500,Mario Lemina,,MID
501,Richarlison de Andrade,,MID
502,Eliaquim Mangala,,DEF
503,Fikayo Tomori,,DEF
504,Kyle Scott,,MID
505,Olayinka Fredrick Oladotun Ladapo,,FWD
506,Stuart Taylor,,GKP
507,Rekeem Harper,,MID
508,Kane Wilson,,DEF
509,Jeremie Boga,,MID
510,Declan Rice,,DEF
511,Cameron Carter-Vickers,,DEF
512,Jesé Rodríguez Ruiz,,MID
513,Bruno Martins Indi,,DEF
514,Jon Flanagan,,DEF
515,Sullay Kaikai,,MID
516,Henri Saivet,,MID
517,José Heriberto Izquierdo Mena,,MID
518,Chris Wood,,FWD
519,Sam Clucas,,MID
520,Davinson Sánchez,,DEF
521,Florent Hadergjonaj,,DEF
522,Abdelhamid Sabiri,,MID
523,Zlatan Ibrahimovic,,FWD
524,Oliver Burke,,MID
525,Wesley Hoedt,,DEF
526,Sead Haksabanovic,,MID
527,André Carrillo,,MID
528,Keshi Anderson,,FWD
529,Freddie Woodman,,GKP
530,Danny Ward,,GKP
531,Tashan Oakley-Boothe,,MID
532,Serge Aurier,,DEF
533,Grzegorz Krychowiak,,MID
534,Juan Foyth,,DEF
535,Renato Sanches,,MID
536,Orestis Karnezis,,GKP
537,Marvin Zeegelaar,,DEF
538,Ezequiel Schelotto,,DEF
539,Nikola Vlasic,,MID
540,Tim Krul,,GKP
541,Aleksandar Dragovic,,DEF
542,Wilfried Bony,,FWD
543,Davide Zappacosta,,DEF
544,Levi Lumeka,,MID
545,Adam Legzdins,,GKP
546,Ainsley Maitland-Niles,,MID
547,Robert Green,,GKP
548,Oumar Niasse,,FWD
549,Aaron Ramsdale,,GKP
550,Harry Souttar,,DEF
551,Oleksandr Zinchenko,,MID
552,Jordon Mutch,,MID
553,Jayson Molumby,,MID
554,Anders Lindegaard,,GKP
